TrialNumber,SubjectID,Scene,RefFilename,RefPath,LeftCondition,LeftFilename,LeftMetric,LeftLevel,LeftPath,RightCondition,RightFilename,RightMetric,RightLevel,RightPath
1,ref,bistro_interior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb,bistro_interior:reference,bistro_interior/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb,bistro_interior:motion_noise_level1,bistro_interior/motion_noise/level1/video0.rgb,motion_noise,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/motion_noise/level1/video0.rgb
2,ref,marbles,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/reference/video0.rgb,marbles:reference,marbles/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/reference/video0.rgb,marbles:restir_level2,marbles/restir/level2/video0.rgb,restir,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/restir/level2/video0.rgb
3,ref,classroom,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb,classroom:duration_flicker_level0,classroom/duration_flicker/level0/video0.rgb,duration_flicker,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/duration_flicker/level0/video0.rgb,classroom:reference,classroom/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb
4,ref,zeroday,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/reference/video0.rgb,zeroday:motion_noise_level2,zeroday/motion_noise/level2/video0.rgb,motion_noise,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/motion_noise/level2/video0.rgb,zeroday:motion_resolution_level1,zeroday/motion_resolution/level1/video0.rgb,motion_resolution,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/motion_resolution/level1/video0.rgb
5,ref,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:noise_colors_level0,pink_room/noise_colors/level0/video0.rgb,noise_colors,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/noise_colors/level0/video0.rgb,pink_room:motion_noise_level0,pink_room/motion_noise/level0/video0.rgb,motion_noise,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/motion_noise/level0/video0.rgb
6,ref,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:stutter_level1,pink_room/stutter/level1/video0.rgb,stutter,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/stutter/level1/video0.rgb,pink_room:motion_noise_level2,pink_room/motion_noise/level2/video0.rgb,motion_noise,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/motion_noise/level2/video0.rgb
7,ref,attic,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:duration_flicker_level1,attic/duration_flicker/level1/video0.rgb,duration_flicker,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/duration_flicker/level1/video0.rgb,attic:reference,attic/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb
8,ref,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:reference,pink_room/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:judder_level2,pink_room/judder/level2/video0.rgb,judder,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/judder/level2/video0.rgb
9,ref,classroom,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb,classroom:temporal-resolution-multiplexing_level0,classroom/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/temporal-resolution-multiplexing/level0/video0.rgb,classroom:reference,classroom/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb
10,ref,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:dlss_rr_level0,pink_room/dlss_rr/level0/video0.rgb,dlss_rr,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/dlss_rr/level0/video0.rgb,pink_room:stutter_level2,pink_room/stutter/level2/video0.rgb,stutter,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/stutter/level2/video0.rgb
11,ref,attic,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:restir_level2,attic/restir/level2/video0.rgb,restir,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/restir/level2/video0.rgb,attic:reference,attic/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb
12,ref,zeroday,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/reference/video0.rgb,zeroday:reference,zeroday/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/reference/video0.rgb,zeroday:noise_colors_level2,zeroday/noise_colors/level2/video0.rgb,noise_colors,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/noise_colors/level2/video0.rgb
13,ref,zeroday,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/reference/video0.rgb,zeroday:duration_flicker_level0,zeroday/duration_flicker/level0/video0.rgb,duration_flicker,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/duration_flicker/level0/video0.rgb,zeroday:duration_flicker_level2,zeroday/duration_flicker/level2/video0.rgb,duration_flicker,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/duration_flicker/level2/video0.rgb
14,ref,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:temporal-resolution-multiplexing_level1,pink_room/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/temporal-resolution-multiplexing/level1/video0.rgb,pink_room:noise_colors_level2,pink_room/noise_colors/level2/video0.rgb,noise_colors,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/noise_colors/level2/video0.rgb
15,ref,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:restir_level2,pink_room/restir/level2/video0.rgb,restir,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/restir/level2/video0.rgb,pink_room:reference,pink_room/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb
16,ref,bistro_exterior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/reference/video0.rgb,bistro_exterior:motion_resolution_level1,bistro_exterior/motion_resolution/level1/video0.rgb,motion_resolution,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/motion_resolution/level1/video0.rgb,bistro_exterior:reference,bistro_exterior/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/reference/video0.rgb
17,ref,bistro_exterior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/reference/video0.rgb,bistro_exterior:motion_resolution_level0,bistro_exterior/motion_resolution/level0/video0.rgb,motion_resolution,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/motion_resolution/level0/video0.rgb,bistro_exterior:reference,bistro_exterior/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/reference/video0.rgb
18,ref,landscape,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/reference/video0.rgb,landscape:judder_level1,landscape/judder/level1/video0.rgb,judder,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/judder/level1/video0.rgb,landscape:reference,landscape/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/reference/video0.rgb
19,ref,bistro_exterior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/reference/video0.rgb,bistro_exterior:motion_resolution_level2,bistro_exterior/motion_resolution/level2/video0.rgb,motion_resolution,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/motion_resolution/level2/video0.rgb,bistro_exterior:reference,bistro_exterior/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/reference/video0.rgb
20,ref,subway,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:reference,subway/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:judder_level0,subway/judder/level0/video0.rgb,judder,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/judder/level0/video0.rgb
21,ref,classroom,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb,classroom:reference,classroom/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb,classroom:motion_noise_level1,classroom/motion_noise/level1/video0.rgb,motion_noise,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/motion_noise/level1/video0.rgb
22,ref,subway,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:reference,subway/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:temporal-resolution-multiplexing_level2,subway/temporal-resolution-multiplexing/level2/video0.rgb,temporal-resolution-multiplexing,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/temporal-resolution-multiplexing/level2/video0.rgb
23,ref,subway,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:noise_colors_level2,subway/noise_colors/level2/video0.rgb,noise_colors,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/noise_colors/level2/video0.rgb,subway:motion_noise_level1,subway/motion_noise/level1/video0.rgb,motion_noise,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/motion_noise/level1/video0.rgb
24,ref,marbles,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/reference/video0.rgb,marbles:reference,marbles/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/reference/video0.rgb,marbles:restir_level1,marbles/restir/level1/video0.rgb,restir,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/restir/level1/video0.rgb
25,ref,zeroday,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/reference/video0.rgb,zeroday:reference,zeroday/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/reference/video0.rgb,zeroday:dlss_rr_level2,zeroday/dlss_rr/level2/video0.rgb,dlss_rr,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/dlss_rr/level2/video0.rgb
26,ref,subway,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:reference,subway/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:temporal-resolution-multiplexing_level1,subway/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/temporal-resolution-multiplexing/level1/video0.rgb
