SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
j3,67,bistro_interior,bistro_interior:restir_level0,bistro_interior:temporal-resolution-multiplexing_level1,RIGHT,bistro_interior:temporal-resolution-multiplexing_level1,bistro_interior:restir_level0,4.7417,240.01
j3,68,marbles,marbles:stutter_level2,marbles:noise_colors_level2,RIGHT,marbles:noise_colors_level2,marbles:stutter_level2,4.8545,240.0
j3,69,subway,subway:dlss_rr_level1,subway:temporal-resolution-multiplexing_level1,LEFT,subway:dlss_rr_level1,subway:temporal-resolution-multiplexing_level1,4.7375,240.01
j3,70,landscape,landscape:stutter_level2,landscape:dlss_rr_level2,LEFT,landscape:stutter_level2,landscape:dlss_rr_level2,5.3963,239.99
j3,71,pink_room,pink_room:temporal-resolution-multiplexing_level1,pink_room:motion_resolution_level2,LEFT,pink_room:temporal-resolution-multiplexing_level1,pink_room:motion_resolution_level2,7.0334,240.01
j3,72,zeroday,zeroday:dlss_rr_level1,zeroday:judder_level0,RIGHT,zeroday:judder_level0,zeroday:dlss_rr_level1,5.5125,240.01
j3,73,pink_room,pink_room:judder_level0,pink_room:duration_flicker_level0,RIGHT,pink_room:duration_flicker_level0,pink_room:judder_level0,14.1167,240.0
j3,74,classroom,classroom:motion_noise_level1,classroom:duration_flicker_level0,LEFT,classroom:motion_noise_level1,classroom:duration_flicker_level0,3.9381,239.74
j3,75,subway,subway:temporal-resolution-multiplexing_level2,subway:restir_level2,LEFT,subway:temporal-resolution-multiplexing_level2,subway:restir_level2,2.8213,239.97
j3,76,classroom,classroom:temporal-resolution-multiplexing_level2,classroom:motion_noise_level1,RIGHT,classroom:motion_noise_level1,classroom:temporal-resolution-multiplexing_level2,4.4292,240.01
j3,77,zeroday,zeroday:motion_resolution_level1,zeroday:duration_flicker_level2,RIGHT,zeroday:duration_flicker_level2,zeroday:motion_resolution_level1,5.3292,240.0
j3,78,marbles,marbles:temporal-resolution-multiplexing_level0,marbles:noise_colors_level0,LEFT,marbles:temporal-resolution-multiplexing_level0,marbles:noise_colors_level0,7.0965,239.99
j3,79,classroom,classroom:noise_colors_level0,classroom:judder_level1,LEFT,classroom:noise_colors_level0,classroom:judder_level1,4.4959,240.01
j3,80,bistro_exterior,bistro_exterior:judder_level2,bistro_exterior:temporal-resolution-multiplexing_level1,RIGHT,bistro_exterior:temporal-resolution-multiplexing_level1,bistro_exterior:judder_level2,6.4678,240.04
j3,81,classroom,classroom:motion_resolution_level0,classroom:judder_level1,LEFT,classroom:motion_resolution_level0,classroom:judder_level1,4.7175,239.97
j3,82,bistro_exterior,bistro_exterior:duration_flicker_level0,bistro_exterior:motion_noise_level2,LEFT,bistro_exterior:duration_flicker_level0,bistro_exterior:motion_noise_level2,4.759,239.98
j3,83,bistro_exterior,bistro_exterior:motion_resolution_level0,bistro_exterior:motion_resolution_level2,LEFT,bistro_exterior:motion_resolution_level0,bistro_exterior:motion_resolution_level2,5.0468,239.97
j3,84,attic,attic:temporal-resolution-multiplexing_level0,attic:stutter_level1,LEFT,attic:temporal-resolution-multiplexing_level0,attic:stutter_level1,9.4338,240.0
j3,85,classroom,classroom:stutter_level1,classroom:temporal-resolution-multiplexing_level0,LEFT,classroom:stutter_level1,classroom:temporal-resolution-multiplexing_level0,4.9709,240.01
j3,86,marbles,marbles:restir_level2,marbles:dlss_rr_level2,RIGHT,marbles:dlss_rr_level2,marbles:restir_level2,7.392,240.0
j3,87,subway,subway:dlss_rr_level1,subway:duration_flicker_level2,LEFT,subway:dlss_rr_level1,subway:duration_flicker_level2,7.0669,239.99
j3,88,zeroday,zeroday:dlss_rr_level2,zeroday:motion_noise_level1,RIGHT,zeroday:motion_noise_level1,zeroday:dlss_rr_level2,5.0508,239.97
j3,89,marbles,marbles:motion_resolution_level0,marbles:dlss_rr_level0,RIGHT,marbles:dlss_rr_level0,marbles:motion_resolution_level0,4.7297,239.98
j3,90,classroom,classroom:restir_level0,classroom:judder_level1,LEFT,classroom:restir_level0,classroom:judder_level1,4.6876,240.01
j3,91,marbles,marbles:noise_colors_level2,marbles:restir_level1,RIGHT,marbles:restir_level1,marbles:noise_colors_level2,4.0625,240.01
j3,92,subway,subway:restir_level0,subway:noise_colors_level2,RIGHT,subway:noise_colors_level2,subway:restir_level0,4.3625,240.01
