SubjectID,TrialIndex,MasterTrialID,TotalTrials,ComparisonType,Scene,LeftMetric,LeftLevel,LeftVideo,RightMetric,RightLevel,RightVideo,ChosenSide,ChosenMetric,ChosenLevel,ChosenVideo,RejectedMetric,RejectedLevel,RejectedVideo,ResponseTime_sec,PresentationFPS
P01,1,350,10,INTER-DISTORTION,landscape,dlss_rr,level2,landscape_dlss_rr_level2.mp4,motion_resolution,level2,landscape_motion_resolution_level2.mp4,LEFT,dlss_rr,level2,landscape_dlss_rr_level2.mp4,motion_resolution,level2,landscape_motion_resolution_level2.mp4,7.0258,239.69
P01,2,285,10,INTER-DISTORTION,classroom,judder,level1,classroom_judder_level1.mp4,restir,level1,classroom_restir_level1.mp4,LEFT,judder,level1,classroom_judder_level1.mp4,restir,level1,classroom_restir_level1.mp4,2.4545,239.16
P01,3,334,10,INTRA-DISTORTION,landscape,noise_colors,level2,landscape_noise_colors_level2.mp4,noise_colors,level1,landscape_noise_colors_level1.mp4,RIGHT,noise_colors,level1,landscape_noise_colors_level1.mp4,noise_colors,level2,landscape_noise_colors_level2.mp4,6.2758,239.49
P01,4,396,10,INTER-DISTORTION,landscape,stutter,level2,landscape_stutter_level2.mp4,restir,level2,landscape_restir_level2.mp4,LEFT,stutter,level2,landscape_stutter_level2.mp4,restir,level2,landscape_restir_level2.mp4,8.5094,239.38
P01,5,498,10,INTRA-DISTORTION,pink_room,restir,level0,pink_room_restir_level0.mp4,restir,level2,pink_room_restir_level2.mp4,LEFT,restir,level0,pink_room_restir_level0.mp4,restir,level2,pink_room_restir_level2.mp4,2.6669,239.22
P01,6,620,10,INTER-DISTORTION,subway,temporal-resolution-multiplexing,level2,subway_temporal-resolution-multiplexing_level2.mp4,motion_noise,level2,subway_motion_noise_level2.mp4,LEFT,temporal-resolution-multiplexing,level2,subway_temporal-resolution-multiplexing_level2.mp4,motion_noise,level2,subway_motion_noise_level2.mp4,1.9458,238.96
P01,7,540,10,INTER-DISTORTION,pink_room,temporal-resolution-multiplexing,level2,pink_room_temporal-resolution-multiplexing_level2.mp4,motion_noise,level2,pink_room_motion_noise_level2.mp4,RIGHT,motion_noise,level2,pink_room_motion_noise_level2.mp4,temporal-resolution-multiplexing,level2,pink_room_temporal-resolution-multiplexing_level2.mp4,1.7585,238.26
P01,8,714,10,INTER-DISTORTION,zeroday,noise_colors,level2,zeroday_noise_colors_level2.mp4,temporal-resolution-multiplexing,level2,zeroday_temporal-resolution-multiplexing_level2.mp4,LEFT,noise_colors,level2,zeroday_noise_colors_level2.mp4,temporal-resolution-multiplexing,level2,zeroday_temporal-resolution-multiplexing_level2.mp4,1.7418,238.84
P01,9,530,10,INTER-DISTORTION,pink_room,temporal-resolution-multiplexing,level2,pink_room_temporal-resolution-multiplexing_level2.mp4,judder,level2,pink_room_judder_level2.mp4,RIGHT,judder,level2,pink_room_judder_level2.mp4,temporal-resolution-multiplexing,level2,pink_room_temporal-resolution-multiplexing_level2.mp4,13.3141,239.67
P01,10,144,10,INTER-DISTORTION,bistro_exterior,motion_resolution,level2,bistro_exterior_motion_resolution_level2.mp4,restir,level2,bistro_exterior_restir_level2.mp4,RIGHT,restir,level2,bistro_exterior_restir_level2.mp4,motion_resolution,level2,bistro_exterior_motion_resolution_level2.mp4,10.1055,239.48
P01,1,369,10,INTER-DISTORTION,landscape,judder,level1,landscape_judder_level1.mp4,temporal-resolution-multiplexing,level1,landscape_temporal-resolution-multiplexing_level1.mp4,LEFT,judder,level1,landscape_judder_level1.mp4,temporal-resolution-multiplexing,level1,landscape_temporal-resolution-multiplexing_level1.mp4,3.8338,239.19
P01,2,607,10,INTER-DISTORTION,subway,stutter,level1,subway_stutter_level1.mp4,judder,level1,subway_judder_level1.mp4,RIGHT,judder,level1,subway_judder_level1.mp4,stutter,level1,subway_stutter_level1.mp4,12.4224,239.41
P01,3,20,10,INTRA-DISTORTION,attic,stutter,level1,attic_stutter_level1.mp4,stutter,level2,attic_stutter_level2.mp4,LEFT,stutter,level1,attic_stutter_level1.mp4,stutter,level2,attic_stutter_level2.mp4,14.1412,239.59
P01,4,509,10,INTER-DISTORTION,pink_room,motion_resolution,level1,pink_room_motion_resolution_level1.mp4,dlss_rr,level1,pink_room_dlss_rr_level1.mp4,LEFT,motion_resolution,level1,pink_room_motion_resolution_level1.mp4,dlss_rr,level1,pink_room_dlss_rr_level1.mp4,4.2255,239.26
P01,5,194,10,INTER-DISTORTION,bistro_interior,dlss_rr,level2,bistro_interior_dlss_rr_level2.mp4,restir,level2,bistro_interior_restir_level2.mp4,LEFT,dlss_rr,level2,bistro_interior_dlss_rr_level2.mp4,restir,level2,bistro_interior_restir_level2.mp4,2.7462,238.52
