SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
ali,1,subway,subway:temporal-resolution-multiplexing_level2,subway:motion_resolution_level2,RIGHT,subway:motion_resolution_level2,subway:temporal-resolution-multiplexing_level2,5.876,240.07
ali,2,marbles,marbles:motion_noise_level0,marbles:dlss_rr_level2,LEFT,marbles:motion_noise_level0,marbles:dlss_rr_level2,5.7966,239.98
ali,3,zeroday,zeroday:stutter_level0,zeroday:judder_level1,LEFT,zeroday:stutter_level0,zeroday:judder_level1,6.7546,240.0
ali,4,landscape,landscape:temporal-resolution-multiplexing_level1,landscape:judder_level0,RIGHT,landscape:judder_level0,landscape:temporal-resolution-multiplexing_level1,5.6592,239.98
ali,5,zeroday,zeroday:noise_colors_level1,zeroday:motion_resolution_level0,RIGHT,zeroday:motion_resolution_level0,zeroday:noise_colors_level1,5.7883,239.98
ali,6,subway,subway:motion_resolution_level1,subway:noise_colors_level0,RIGHT,subway:noise_colors_level0,subway:motion_resolution_level1,6.2511,239.97
ali,7,zeroday,zeroday:duration_flicker_level0,zeroday:motion_resolution_level0,LEFT,zeroday:duration_flicker_level0,zeroday:motion_resolution_level0,7.4177,239.98
ali,8,attic,attic:noise_colors_level1,attic:duration_flicker_level0,LEFT,attic:noise_colors_level1,attic:duration_flicker_level0,4.4998,239.82
ali,9,landscape,landscape:noise_colors_level1,landscape:motion_noise_level2,RIGHT,landscape:motion_noise_level2,landscape:noise_colors_level1,6.1755,239.99
ali,10,subway,subway:motion_noise_level1,subway:motion_resolution_level0,RIGHT,subway:motion_resolution_level0,subway:motion_noise_level1,6.3926,239.97
ali,11,bistro_exterior,bistro_exterior:dlss_rr_level0,bistro_exterior:restir_level1,RIGHT,bistro_exterior:restir_level1,bistro_exterior:dlss_rr_level0,6.3675,239.97
ali,12,marbles,marbles:stutter_level1,marbles:temporal-resolution-multiplexing_level0,RIGHT,marbles:temporal-resolution-multiplexing_level0,marbles:stutter_level1,6.2341,239.98
ali,13,landscape,landscape:judder_level1,landscape:temporal-resolution-multiplexing_level0,LEFT,landscape:judder_level1,landscape:temporal-resolution-multiplexing_level0,6.58,239.97
ali,14,landscape,landscape:restir_level2,landscape:dlss_rr_level0,LEFT,landscape:restir_level2,landscape:dlss_rr_level0,6.9875,240.01
ali,15,subway,subway:motion_noise_level2,subway:restir_level0,LEFT,subway:motion_noise_level2,subway:restir_level0,8.5259,239.98
ali,16,landscape,landscape:judder_level1,landscape:restir_level2,RIGHT,landscape:restir_level2,landscape:judder_level1,7.346,240.0
