Scene,RankInScene,ConditionName,Filename,Metric,Level,VisualQuality_Mean,Uncertainty_StdDev,ComparisonsCount
bistro_exterior,16,bistro_exterior:motion_resolution_level0,bistro_exterior/motion_resolution/level0/video0.rgb,motion_resolution,level0,-0.14960,0.34916,12
bistro_exterior,17,bistro_exterior:motion_resolution_level1,bistro_exterior/motion_resolution/level1/video0.rgb,motion_resolution,level1,-0.21333,0.36166,11
bistro_exterior,18,bistro_exterior:dlss_rr_level1,bistro_exterior/dlss_rr/level1/video0.rgb,dlss_rr,level1,-0.29939,0.34674,14
bistro_exterior,19,bistro_exterior:restir_level2,bistro_exterior/restir/level2/video0.rgb,restir,level2,-0.31119,0.35384,12
bistro_exterior,20,bistro_exterior:duration_flicker_level2,bistro_exterior/duration_flicker/level2/video0.rgb,duration_flicker,level2,-0.50593,0.34240,14
bistro_exterior,21,bistro_exterior:temporal-resolution-multiplexing_level1,bistro_exterior/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,-0.51990,0.34116,14
bistro_exterior,22,bistro_exterior:stutter_level2,bistro_exterior/stutter/level2/video0.rgb,stutter,level2,-0.61527,0.36791,12
bistro_exterior,23,bistro_exterior:judder_level2,bistro_exterior/judder/level2/video0.rgb,judder,level2,-0.63241,0.37042,11
bistro_exterior,24,bistro_exterior:noise_colors_level2,bistro_exterior/noise_colors/level2/video0.rgb,noise_colors,level2,-0.78741,0.37021,11
bistro_exterior,25,bistro_exterior:dlss_rr_level2,bistro_exterior/dlss_rr/level2/video0.rgb,dlss_rr,level2,-0.81053,0.36824,11
bistro_exterior,26,bistro_exterior:temporal-resolution-multiplexing_level2,bistro_exterior/temporal-resolution-multiplexing/level2/video0.rgb,temporal-resolution-multiplexing,level2,-1.02577,0.38894,10
bistro_exterior,27,bistro_exterior:motion_resolution_level2,bistro_exterior/motion_resolution/level2/video0.rgb,motion_resolution,level2,-1.25034,0.40823,10
bistro_interior,1,bistro_interior:temporal-resolution-multiplexing_level0,bistro_interior/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,+1.35236,0.40062,11
bistro_interior,2,bistro_interior:motion_noise_level0,bistro_interior/motion_noise/level0/video0.rgb,motion_noise,level0,+1.22047,0.38510,11
bistro_interior,3,bistro_interior:noise_colors_level0,bistro_interior/noise_colors/level0/video0.rgb,noise_colors,level0,+0.87344,0.36118,12
bistro_interior,4,bistro_interior:duration_flicker_level0,bistro_interior/duration_flicker/level0/video0.rgb,duration_flicker,level0,+0.66911,0.36511,12
bistro_interior,5,bistro_interior:stutter_level1,bistro_interior/stutter/level1/video0.rgb,stutter,level1,+0.64825,0.35573,12
bistro_interior,6,bistro_interior:judder_level1,bistro_interior/judder/level1/video0.rgb,judder,level1,+0.51425,0.35803,11
bistro_interior,7,bistro_interior:motion_noise_level1,bistro_interior/motion_noise/level1/video0.rgb,motion_noise,level1,+0.45139,0.38146,10
bistro_interior,8,bistro_interior:temporal-resolution-multiplexing_level1,bistro_interior/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,+0.42663,0.33298,16
bistro_interior,9,bistro_interior:stutter_level0,bistro_interior/stutter/level0/video0.rgb,stutter,level0,+0.41799,0.38554,10
bistro_interior,10,bistro_interior:noise_colors_level1,bistro_interior/noise_colors/level1/video0.rgb,noise_colors,level1,+0.36641,0.36315,12
bistro_interior,11,bistro_interior:duration_flicker_level2,bistro_interior/duration_flicker/level2/video0.rgb,duration_flicker,level2,+0.28843,0.36656,11
bistro_interior,12,bistro_interior:judder_level0,bistro_interior/judder/level0/video0.rgb,judder,level0,+0.22008,0.33889,13
bistro_interior,13,bistro_interior:dlss_rr_level1,bistro_interior/dlss_rr/level1/video0.rgb,dlss_rr,level1,+0.17170,0.35483,14
bistro_interior,14,bistro_interior:duration_flicker_level1,bistro_interior/duration_flicker/level1/video0.rgb,duration_flicker,level1,+0.16175,0.36573,11
bistro_interior,15,bistro_interior:motion_noise_level2,bistro_interior/motion_noise/level2/video0.rgb,motion_noise,level2,+0.05370,0.38772,10
bistro_interior,16,bistro_interior:dlss_rr_level0,bistro_interior/dlss_rr/level0/video0.rgb,dlss_rr,level0,-0.04344,0.29976,18
bistro_interior,17,bistro_interior:temporal-resolution-multiplexing_level2,bistro_interior/temporal-resolution-multiplexing/level2/video0.rgb,temporal-resolution-multiplexing,level2,-0.07494,0.36512,11
bistro_interior,18,bistro_interior:judder_level2,bistro_interior/judder/level2/video0.rgb,judder,level2,-0.24687,0.38044,11
bistro_interior,19,bistro_interior:dlss_rr_level2,bistro_interior/dlss_rr/level2/video0.rgb,dlss_rr,level2,-0.40285,0.38886,10
bistro_interior,20,bistro_interior:stutter_level2,bistro_interior/stutter/level2/video0.rgb,stutter,level2,-0.44740,0.36930,12
bistro_interior,21,bistro_interior:restir_level0,bistro_interior/restir/level0/video0.rgb,restir,level0,-0.69770,0.36795,13
bistro_interior,22,bistro_interior:restir_level1,bistro_interior/restir/level1/video0.rgb,restir,level1,-0.70268,0.37359,11
bistro_interior,23,bistro_interior:noise_colors_level2,bistro_interior/noise_colors/level2/video0.rgb,noise_colors,level2,-0.84197,0.41768,9
bistro_interior,24,bistro_interior:motion_resolution_level1,bistro_interior/motion_resolution/level1/video0.rgb,motion_resolution,level1,-0.87354,0.38094,12
bistro_interior,25,bistro_interior:motion_resolution_level0,bistro_interior/motion_resolution/level0/video0.rgb,motion_resolution,level0,-0.89126,0.41267,9
bistro_interior,26,bistro_interior:restir_level2,bistro_interior/restir/level2/video0.rgb,restir,level2,-1.33039,0.42282,9
bistro_interior,27,bistro_interior:motion_resolution_level2,bistro_interior/motion_resolution/level2/video0.rgb,motion_resolution,level2,-1.37429,0.40996,11
classroom,1,classroom:temporal-resolution-multiplexing_level0,classroom/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,+1.23267,0.36649,13
classroom,2,classroom:stutter_level1,classroom/stutter/level1/video0.rgb,stutter,level1,+1.03129,0.39816,8
classroom,3,classroom:restir_level0,classroom/restir/level0/video0.rgb,restir,level0,+1.01307,0.39062,10
classroom,4,classroom:noise_colors_level0,classroom/noise_colors/level0/video0.rgb,noise_colors,level0,+0.67596,0.38382,10
classroom,5,classroom:stutter_level0,classroom/stutter/level0/video0.rgb,stutter,level0,+0.59218,0.35909,11
classroom,6,classroom:motion_noise_level0,classroom/motion_noise/level0/video0.rgb,motion_noise,level0,+0.56364,0.36131,11
classroom,7,classroom:judder_level1,classroom/judder/level1/video0.rgb,judder,level1,+0.51076,0.32767,15
classroom,8,classroom:motion_resolution_level0,classroom/motion_resolution/level0/video0.rgb,motion_resolution,level0,+0.45862,0.35130,13
classroom,9,classroom:temporal-resolution-multiplexing_level1,classroom/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,+0.39659,0.33628,14
classroom,10,classroom:judder_level0,classroom/judder/level0/video0.rgb,judder,level0,+0.32613,0.39083,10
classroom,11,classroom:dlss_rr_level1,classroom/dlss_rr/level1/video0.rgb,dlss_rr,level1,+0.27648,0.36714,11
classroom,12,classroom:judder_level2,classroom/judder/level2/video0.rgb,judder,level2,+0.26038,0.31860,16
classroom,13,classroom:motion_noise_level1,classroom/motion_noise/level1/video0.rgb,motion_noise,level1,+0.15150,0.32940,15
classroom,14,classroom:dlss_rr_level0,classroom/dlss_rr/level0/video0.rgb,dlss_rr,level0,+0.10163,0.35096,12
classroom,15,classroom:noise_colors_level1,classroom/noise_colors/level1/video0.rgb,noise_colors,level1,+0.05676,0.33165,14
classroom,16,classroom:restir_level1,classroom/restir/level1/video0.rgb,restir,level1,-0.11324,0.37195,11
classroom,17,classroom:temporal-resolution-multiplexing_level2,classroom/temporal-resolution-multiplexing/level2/video0.rgb,temporal-resolution-multiplexing,level2,-0.31458,0.36179,12
classroom,18,classroom:duration_flicker_level0,classroom/duration_flicker/level0/video0.rgb,duration_flicker,level0,-0.32871,0.38231,10
classroom,19,classroom:dlss_rr_level2,classroom/dlss_rr/level2/video0.rgb,dlss_rr,level2,-0.33117,0.39067,10
classroom,20,classroom:stutter_level2,classroom/stutter/level2/video0.rgb,stutter,level2,-0.35785,0.37118,11
classroom,21,classroom:motion_noise_level2,classroom/motion_noise/level2/video0.rgb,motion_noise,level2,-0.38260,0.37228,11
classroom,22,classroom:duration_flicker_level1,classroom/duration_flicker/level1/video0.rgb,duration_flicker,level1,-0.74701,0.39747,10
classroom,23,classroom:motion_resolution_level1,classroom/motion_resolution/level1/video0.rgb,motion_resolution,level1,-0.76719,0.38671,10
classroom,24,classroom:duration_flicker_level2,classroom/duration_flicker/level2/video0.rgb,duration_flicker,level2,-0.77398,0.39628,10
classroom,25,classroom:restir_level2,classroom/restir/level2/video0.rgb,restir,level2,-0.80445,0.39535,9
classroom,26,classroom:noise_colors_level2,classroom/noise_colors/level2/video0.rgb,noise_colors,level2,-1.09639,0.36741,13
classroom,27,classroom:motion_resolution_level2,classroom/motion_resolution/level2/video0.rgb,motion_resolution,level2,-1.69122,0.42462,12
landscape,1,landscape:motion_noise_level1,landscape/motion_noise/level1/video0.rgb,motion_noise,level1,+0.86005,0.38619,10
landscape,2,landscape:stutter_level0,landscape/stutter/level0/video0.rgb,stutter,level0,+0.85734,0.39427,9
landscape,3,landscape:judder_level1,landscape/judder/level1/video0.rgb,judder,level1,+0.49366,0.36295,11
landscape,4,landscape:motion_noise_level0,landscape/motion_noise/level0/video0.rgb,motion_noise,level0,+0.47392,0.36100,11
landscape,5,landscape:restir_level1,landscape/restir/level1/video0.rgb,restir,level1,+0.46374,0.35486,11
landscape,6,landscape:restir_level2,landscape/restir/level2/video0.rgb,restir,level2,+0.43056,0.31061,18
landscape,7,landscape:noise_colors_level1,landscape/noise_colors/level1/video0.rgb,noise_colors,level1,+0.41427,0.37866,9
landscape,8,landscape:restir_level0,landscape/restir/level0/video0.rgb,restir,level0,+0.38902,0.34453,12
landscape,9,landscape:noise_colors_level0,landscape/noise_colors/level0/video0.rgb,noise_colors,level0,+0.36388,0.32266,15
landscape,10,landscape:judder_level0,landscape/judder/level0/video0.rgb,judder,level0,+0.34022,0.37439,11
landscape,11,landscape:motion_noise_level2,landscape/motion_noise/level2/video0.rgb,motion_noise,level2,+0.31972,0.36853,10
landscape,12,landscape:motion_resolution_level0,landscape/motion_resolution/level0/video0.rgb,motion_resolution,level0,+0.21609,0.34974,13
landscape,13,landscape:stutter_level1,landscape/stutter/level1/video0.rgb,stutter,level1,+0.20166,0.35805,11
landscape,14,landscape:temporal-resolution-multiplexing_level0,landscape/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,+0.14577,0.33510,13
landscape,15,landscape:temporal-resolution-multiplexing_level1,landscape/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,-0.02958,0.35902,11
landscape,16,landscape:dlss_rr_level0,landscape/dlss_rr/level0/video0.rgb,dlss_rr,level0,-0.12131,0.31605,16
landscape,17,landscape:judder_level2,landscape/judder/level2/video0.rgb,judder,level2,-0.12303,0.37318,10
landscape,18,landscape:noise_colors_level2,landscape/noise_colors/level2/video0.rgb,noise_colors,level2,-0.18381,0.37186,10
landscape,19,landscape:temporal-resolution-multiplexing_level2,landscape/temporal-resolution-multiplexing/level2/video0.rgb,temporal-resolution-multiplexing,level2,-0.26549,0.32688,15
landscape,20,landscape:duration_flicker_level1,landscape/duration_flicker/level1/video0.rgb,duration_flicker,level1,-0.28963,0.37085,10
landscape,21,landscape:motion_resolution_level1,landscape/motion_resolution/level1/video0.rgb,motion_resolution,level1,-0.37040,0.39283,9
landscape,22,landscape:duration_flicker_level0,landscape/duration_flicker/level0/video0.rgb,duration_flicker,level0,-0.44612,0.36316,11
landscape,23,landscape:duration_flicker_level2,landscape/duration_flicker/level2/video0.rgb,duration_flicker,level2,-0.48582,0.37264,10
landscape,24,landscape:dlss_rr_level2,landscape/dlss_rr/level2/video0.rgb,dlss_rr,level2,-0.54571,0.38162,10
landscape,25,landscape:dlss_rr_level1,landscape/dlss_rr/level1/video0.rgb,dlss_rr,level1,-0.74647,0.38051,11
