ConditionIndex,ConditionName,Scene,Metric,Level,VisualQualityScore_Mean,Uncertainty_StdDev
93,classroom:temporal-resolution-multiplexing_level0,classroom,temporal-resolution-multiplexing,level0,0.000000,0.707107
94,classroom:temporal-resolution-multiplexing_level1,classroom,temporal-resolution-multiplexing,level1,0.000000,0.707107
95,classroom:temporal-resolution-multiplexing_level2,classroom,temporal-resolution-multiplexing,level2,0.000000,0.707107
96,landscape:dlss_rr_level0,landscape,dlss_rr,level0,0.000000,0.707107
97,landscape:dlss_rr_level1,landscape,dlss_rr,level1,0.000000,0.707107
98,landscape:dlss_rr_level2,landscape,dlss_rr,level2,0.000000,0.707107
99,landscape:judder_level0,landscape,judder,level0,0.000000,0.707107
100,landscape:judder_level1,landscape,judder,level1,0.000000,0.707107
101,landscape:judder_level2,landscape,judder,level2,0.000000,0.707107
102,landscape:motion_noise_level0,landscape,motion_noise,level0,0.000000,0.707107
103,landscape:motion_noise_level1,landscape,motion_noise,level1,0.000000,0.707107
104,landscape:motion_noise_level2,landscape,motion_noise,level2,0.000000,0.707107
105,landscape:motion_resolution_level0,landscape,motion_resolution,level0,0.000000,0.707107
106,landscape:motion_resolution_level1,landscape,motion_resolution,level1,0.000000,0.707107
107,landscape:motion_resolution_level2,landscape,motion_resolution,level2,0.000000,0.707107
108,landscape:noise_colors_level0,landscape,noise_colors,level0,0.000000,0.707107
109,landscape:noise_colors_level1,landscape,noise_colors,level1,0.000000,0.707107
110,landscape:noise_colors_level2,landscape,noise_colors,level2,0.000000,0.707107
111,landscape:restir_level0,landscape,restir,level0,0.000000,0.707107
112,landscape:restir_level1,landscape,restir,level1,0.000000,0.707107
113,landscape:restir_level2,landscape,restir,level2,0.000000,0.707107
114,landscape:stutter_level0,landscape,stutter,level0,0.000000,0.707107
115,landscape:stutter_level1,landscape,stutter,level1,0.000000,0.707107
116,landscape:stutter_level2,landscape,stutter,level2,0.000000,0.707107
117,landscape:temporal-resolution-multiplexing_level0,landscape,temporal-resolution-multiplexing,level0,0.000000,0.707107
118,landscape:temporal-resolution-multiplexing_level1,landscape,temporal-resolution-multiplexing,level1,0.000000,0.707107
119,landscape:temporal-resolution-multiplexing_level2,landscape,temporal-resolution-multiplexing,level2,0.000000,0.707107
120,marbles:dlss_rr_level0,marbles,dlss_rr,level0,0.000000,0.707107
121,marbles:dlss_rr_level1,marbles,dlss_rr,level1,0.000000,0.707107
122,marbles:dlss_rr_level2,marbles,dlss_rr,level2,0.000000,0.707107
123,marbles:judder_level0,marbles,judder,level0,0.000000,0.707107
124,marbles:judder_level1,marbles,judder,level1,0.000000,0.707107
125,marbles:judder_level2,marbles,judder,level2,0.000000,0.707107
126,marbles:motion_noise_level0,marbles,motion_noise,level0,0.000000,0.707107
127,marbles:motion_noise_level1,marbles,motion_noise,level1,0.000000,0.707107
128,marbles:motion_noise_level2,marbles,motion_noise,level2,0.000000,0.707107
129,marbles:motion_resolution_level0,marbles,motion_resolution,level0,0.000000,0.707107
130,marbles:motion_resolution_level1,marbles,motion_resolution,level1,0.000000,0.707107
131,marbles:motion_resolution_level2,marbles,motion_resolution,level2,0.000000,0.707107
132,marbles:noise_colors_level0,marbles,noise_colors,level0,0.000000,0.707107
133,marbles:noise_colors_level1,marbles,noise_colors,level1,0.000000,0.707107
134,marbles:noise_colors_level2,marbles,noise_colors,level2,0.000000,0.707107
135,marbles:restir_level0,marbles,restir,level0,0.000000,0.707107
136,marbles:restir_level1,marbles,restir,level1,0.000000,0.707107
137,marbles:restir_level2,marbles,restir,level2,0.000000,0.707107
138,marbles:stutter_level0,marbles,stutter,level0,0.000000,0.707107
139,marbles:stutter_level1,marbles,stutter,level1,0.000000,0.707107
140,marbles:stutter_level2,marbles,stutter,level2,0.000000,0.707107
141,marbles:temporal-resolution-multiplexing_level0,marbles,temporal-resolution-multiplexing,level0,0.000000,0.707107
142,marbles:temporal-resolution-multiplexing_level1,marbles,temporal-resolution-multiplexing,level1,0.000000,0.707107
143,marbles:temporal-resolution-multiplexing_level2,marbles,temporal-resolution-multiplexing,level2,0.000000,0.707107
144,pink_room:dlss_rr_level0,pink_room,dlss_rr,level0,0.000000,0.707107
145,pink_room:dlss_rr_level1,pink_room,dlss_rr,level1,0.000000,0.707107
146,pink_room:dlss_rr_level2,pink_room,dlss_rr,level2,0.000000,0.707107
147,pink_room:judder_level0,pink_room,judder,level0,0.000000,0.707107
148,pink_room:judder_level1,pink_room,judder,level1,0.000000,0.707107
