SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
Jorge2,63,landscape,landscape:stutter_level2,landscape:judder_level0,RIGHT,landscape:judder_level0,landscape:stutter_level2,5.0668,240.01
Jorge2,64,landscape,landscape:stutter_level0,landscape:noise_colors_level1,LEFT,landscape:stutter_level0,landscape:noise_colors_level1,5.4542,240.01
Jorge2,65,zeroday,zeroday:motion_resolution_level2,zeroday:duration_flicker_level2,RIGHT,zeroday:duration_flicker_level2,zeroday:motion_resolution_level2,5.3001,240.0
Jorge2,66,attic,attic:motion_resolution_level2,attic:stutter_level1,RIGHT,attic:stutter_level1,attic:motion_resolution_level2,4.6625,240.01
Jorge2,67,landscape,landscape:temporal-resolution-multiplexing_level1,landscape:temporal-resolution-multiplexing_level0,RIGHT,landscape:temporal-resolution-multiplexing_level0,landscape:temporal-resolution-multiplexing_level1,5.2506,239.98
Jorge2,68,marbles,marbles:motion_noise_level2,marbles:stutter_level1,LEFT,marbles:motion_noise_level2,marbles:stutter_level1,4.4292,240.01
Jorge2,69,bistro_exterior,bistro_exterior:temporal-resolution-multiplexing_level2,bistro_exterior:noise_colors_level2,RIGHT,bistro_exterior:noise_colors_level2,bistro_exterior:temporal-resolution-multiplexing_level2,5.3584,240.01
Jorge2,70,subway,subway:judder_level0,subway:judder_level1,LEFT,subway:judder_level0,subway:judder_level1,7.1,240.0
Jorge2,71,attic,attic:stutter_level1,attic:judder_level2,LEFT,attic:stutter_level1,attic:judder_level2,4.7917,240.01
Jorge2,72,zeroday,zeroday:dlss_rr_level2,zeroday:restir_level2,LEFT,zeroday:dlss_rr_level2,zeroday:restir_level2,5.4716,239.98
Jorge2,73,classroom,classroom:motion_noise_level1,classroom:temporal-resolution-multiplexing_level0,RIGHT,classroom:temporal-resolution-multiplexing_level0,classroom:motion_noise_level1,4.4505,239.98
Jorge2,74,attic,attic:motion_resolution_level0,attic:noise_colors_level0,LEFT,attic:motion_resolution_level0,attic:noise_colors_level0,5.4125,240.01
Jorge2,75,marbles,marbles:duration_flicker_level1,marbles:temporal-resolution-multiplexing_level0,RIGHT,marbles:temporal-resolution-multiplexing_level0,marbles:duration_flicker_level1,5.2125,240.01
Jorge2,76,subway,subway:duration_flicker_level1,subway:motion_noise_level2,LEFT,subway:duration_flicker_level1,subway:motion_noise_level2,5.3255,239.98
Jorge2,77,bistro_interior,bistro_interior:stutter_level2,bistro_interior:noise_colors_level1,RIGHT,bistro_interior:noise_colors_level1,bistro_interior:stutter_level2,5.3963,239.99
Jorge2,78,attic,attic:noise_colors_level1,attic:motion_resolution_level0,RIGHT,attic:motion_resolution_level0,attic:noise_colors_level1,4.5042,240.01
Jorge2,79,bistro_exterior,bistro_exterior:judder_level2,bistro_exterior:judder_level0,RIGHT,bistro_exterior:judder_level0,bistro_exterior:judder_level2,5.4542,240.01
Jorge2,80,zeroday,zeroday:stutter_level0,zeroday:dlss_rr_level0,LEFT,zeroday:stutter_level0,zeroday:dlss_rr_level0,6.672,240.05
Jorge2,81,attic,attic:stutter_level0,attic:duration_flicker_level0,LEFT,attic:stutter_level0,attic:duration_flicker_level0,4.3126,240.01
Jorge2,82,bistro_exterior,bistro_exterior:temporal-resolution-multiplexing_level1,bistro_exterior:dlss_rr_level1,RIGHT,bistro_exterior:dlss_rr_level1,bistro_exterior:temporal-resolution-multiplexing_level1,6.2459,240.01
Jorge2,83,subway,subway:dlss_rr_level2,subway:noise_colors_level2,LEFT,subway:dlss_rr_level2,subway:noise_colors_level2,4.413,239.99
Jorge2,84,marbles,marbles:judder_level1,marbles:stutter_level0,LEFT,marbles:judder_level1,marbles:stutter_level0,6.1338,239.99
Jorge2,85,pink_room,pink_room:motion_resolution_level2,pink_room:restir_level2,RIGHT,pink_room:restir_level2,pink_room:motion_resolution_level2,6.0001,240.01
Jorge2,86,attic,attic:duration_flicker_level0,attic:noise_colors_level0,LEFT,attic:duration_flicker_level0,attic:noise_colors_level0,4.5376,240.0
Jorge2,87,bistro_interior,bistro_interior:duration_flicker_level0,bistro_interior:noise_colors_level2,LEFT,bistro_interior:duration_flicker_level0,bistro_interior:noise_colors_level2,5.4634,239.97
Jorge2,88,bistro_interior,bistro_interior:duration_flicker_level2,bistro_interior:duration_flicker_level0,RIGHT,bistro_interior:duration_flicker_level0,bistro_interior:duration_flicker_level2,8.2007,239.99
Jorge2,89,attic,attic:judder_level1,attic:motion_resolution_level1,LEFT,attic:judder_level1,attic:motion_resolution_level1,4.859,239.98
Jorge2,90,attic,attic:motion_resolution_level0,attic:stutter_level1,LEFT,attic:motion_resolution_level0,attic:stutter_level1,5.2542,240.01
Jorge2,91,bistro_interior,bistro_interior:duration_flicker_level1,bistro_interior:duration_flicker_level0,RIGHT,bistro_interior:duration_flicker_level0,bistro_interior:duration_flicker_level1,5.0881,239.98
Jorge2,92,bistro_exterior,bistro_exterior:noise_colors_level2,bistro_exterior:motion_resolution_level0,LEFT,bistro_exterior:noise_colors_level2,bistro_exterior:motion_resolution_level0,10.3097,239.97
Jorge2,93,attic,attic:restir_level2,attic:stutter_level2,RIGHT,attic:stutter_level2,attic:restir_level2,4.8459,240.01
Jorge2,94,bistro_interior,bistro_interior:noise_colors_level1,bistro_interior:judder_level2,LEFT,bistro_interior:noise_colors_level1,bistro_interior:judder_level2,5.0423,239.98
Jorge2,95,landscape,landscape:temporal-resolution-multiplexing_level2,landscape:duration_flicker_level0,LEFT,landscape:temporal-resolution-multiplexing_level2,landscape:duration_flicker_level0,5.3924,239.97
Jorge2,96,attic,attic:motion_resolution_level1,attic:noise_colors_level0,RIGHT,attic:noise_colors_level0,attic:motion_resolution_level1,4.4584,240.01
Jorge2,97,subway,subway:motion_resolution_level1,subway:noise_colors_level2,LEFT,subway:motion_resolution_level1,subway:noise_colors_level2,4.0125,240.01
Jorge2,98,subway,subway:motion_noise_level0,subway:restir_level1,LEFT,subway:motion_noise_level0,subway:restir_level1,4.3709,240.01
Jorge2,99,bistro_interior,bistro_interior:motion_noise_level0,bistro_interior:judder_level0,LEFT,bistro_interior:motion_noise_level0,bistro_interior:judder_level0,5.3626,240.01
Jorge2,100,attic,attic:temporal-resolution-multiplexing_level0,attic:motion_resolution_level1,LEFT,attic:temporal-resolution-multiplexing_level0,attic:motion_resolution_level1,4.7417,240.01
Jorge2,101,pink_room,pink_room:dlss_rr_level1,pink_room:duration_flicker_level0,RIGHT,pink_room:duration_flicker_level0,pink_room:dlss_rr_level1,5.4962,240.0
Jorge2,102,attic,attic:stutter_level1,attic:temporal-resolution-multiplexing_level2,LEFT,attic:stutter_level1,attic:temporal-resolution-multiplexing_level2,4.7209,240.01
Jorge2,103,classroom,classroom:dlss_rr_level1,classroom:noise_colors_level1,LEFT,classroom:dlss_rr_level1,classroom:noise_colors_level1,4.4875,240.01
Jorge2,104,attic,attic:dlss_rr_level0,attic:motion_resolution_level0,RIGHT,attic:motion_resolution_level0,attic:dlss_rr_level0,4.8917,240.01
Jorge2,105,marbles,marbles:temporal-resolution-multiplexing_level0,marbles:temporal-resolution-multiplexing_level2,LEFT,marbles:temporal-resolution-multiplexing_level0,marbles:temporal-resolution-multiplexing_level2,4.9293,240.01
Jorge2,106,subway,subway:restir_level1,subway:temporal-resolution-multiplexing_level0,RIGHT,subway:temporal-resolution-multiplexing_level0,subway:restir_level1,3.325,240.02
Jorge2,107,bistro_exterior,bistro_exterior:motion_resolution_level1,bistro_exterior:stutter_level2,LEFT,bistro_exterior:motion_resolution_level1,bistro_exterior:stutter_level2,5.3968,240.06
Jorge2,108,attic,attic:motion_noise_level0,attic:motion_resolution_level0,LEFT,attic:motion_noise_level0,attic:motion_resolution_level0,4.7626,240.01
Jorge2,109,marbles,marbles:motion_noise_level2,marbles:temporal-resolution-multiplexing_level0,RIGHT,marbles:temporal-resolution-multiplexing_level0,marbles:motion_noise_level2,4.4043,240.01
Jorge2,110,landscape,landscape:motion_noise_level0,landscape:noise_colors_level1,LEFT,landscape:motion_noise_level0,landscape:noise_colors_level1,4.9342,239.97
Jorge2,111,classroom,classroom:temporal-resolution-multiplexing_level2,classroom:motion_resolution_level0,RIGHT,classroom:motion_resolution_level0,classroom:temporal-resolution-multiplexing_level2,4.9006,239.98
Jorge2,112,attic,attic:motion_noise_level2,attic:noise_colors_level0,RIGHT,attic:noise_colors_level0,attic:motion_noise_level2,4.7751,240.01
Jorge2,113,zeroday,zeroday:temporal-resolution-multiplexing_level2,zeroday:restir_level0,RIGHT,zeroday:restir_level0,zeroday:temporal-resolution-multiplexing_level2,5.4459,240.01
