SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
yaru,208,zeroday,zeroday:judder_level1,zeroday:noise_colors_level0,RIGHT,zeroday:noise_colors_level0,zeroday:judder_level1,9.4917,240.01
yaru,209,zeroday,zeroday:duration_flicker_level0,zeroday:duration_flicker_level1,RIGHT,zeroday:duration_flicker_level1,zeroday:duration_flicker_level0,1.8167,240.03
yaru,210,bistro_interior,bistro_interior:motion_noise_level0,bistro_interior:stutter_level1,LEFT,bistro_interior:motion_noise_level0,bistro_interior:stutter_level1,15.2341,239.99
yaru,211,subway,subway:judder_level1,subway:stutter_level0,RIGHT,subway:stutter_level0,subway:judder_level1,7.6051,239.98
yaru,212,attic,attic:restir_level1,attic:restir_level2,LEFT,attic:restir_level1,attic:restir_level2,3.0042,240.02
yaru,213,subway,subway:noise_colors_level2,subway:stutter_level2,RIGHT,subway:stutter_level2,subway:noise_colors_level2,2.992,239.99
yaru,214,subway,subway:judder_level2,subway:dlss_rr_level2,LEFT,subway:judder_level2,subway:dlss_rr_level2,3.3087,239.99
yaru,215,zeroday,zeroday:dlss_rr_level1,zeroday:duration_flicker_level1,RIGHT,zeroday:duration_flicker_level1,zeroday:dlss_rr_level1,3.9959,240.02
yaru,216,subway,subway:judder_level1,subway:stutter_level1,RIGHT,subway:stutter_level1,subway:judder_level1,7.6512,239.97
yaru,217,subway,subway:motion_noise_level0,subway:dlss_rr_level0,LEFT,subway:motion_noise_level0,subway:dlss_rr_level0,4.5131,239.97
yaru,218,attic,attic:motion_noise_level2,attic:stutter_level1,LEFT,attic:motion_noise_level2,attic:stutter_level1,4.45,240.01
yaru,219,attic,attic:restir_level2,attic:temporal-resolution-multiplexing_level2,LEFT,attic:restir_level2,attic:temporal-resolution-multiplexing_level2,4.6459,240.01
yaru,220,subway,subway:motion_resolution_level0,subway:noise_colors_level1,LEFT,subway:motion_resolution_level0,subway:noise_colors_level1,12.4306,239.97
yaru,221,zeroday,zeroday:restir_level1,zeroday:duration_flicker_level1,RIGHT,zeroday:duration_flicker_level1,zeroday:restir_level1,9.0472,239.97
yaru,222,attic,attic:stutter_level0,attic:judder_level0,RIGHT,attic:judder_level0,attic:stutter_level0,4.1464,239.98
yaru,223,attic,attic:stutter_level0,attic:noise_colors_level1,RIGHT,attic:noise_colors_level1,attic:stutter_level0,2.7334,240.0
yaru,224,subway,subway:duration_flicker_level0,subway:noise_colors_level0,RIGHT,subway:noise_colors_level0,subway:duration_flicker_level0,2.4959,240.01
yaru,225,zeroday,zeroday:noise_colors_level2,zeroday:motion_noise_level1,LEFT,zeroday:noise_colors_level2,zeroday:motion_noise_level1,3.7255,239.98
yaru,226,attic,attic:motion_noise_level2,attic:noise_colors_level2,LEFT,attic:motion_noise_level2,attic:noise_colors_level2,3.7167,240.02
yaru,227,attic,attic:motion_noise_level2,attic:temporal-resolution-multiplexing_level1,RIGHT,attic:temporal-resolution-multiplexing_level1,attic:motion_noise_level2,3.7125,240.01
yaru,228,zeroday,zeroday:judder_level2,zeroday:restir_level2,LEFT,zeroday:judder_level2,zeroday:restir_level2,1.425,240.01
yaru,229,zeroday,zeroday:motion_resolution_level1,zeroday:motion_resolution_level2,LEFT,zeroday:motion_resolution_level1,zeroday:motion_resolution_level2,1.65,240.02
yaru,230,attic,attic:motion_noise_level2,attic:duration_flicker_level0,LEFT,attic:motion_noise_level2,attic:duration_flicker_level0,10.6974,239.88
yaru,231,zeroday,zeroday:temporal-resolution-multiplexing_level0,zeroday:noise_colors_level1,LEFT,zeroday:temporal-resolution-multiplexing_level0,zeroday:noise_colors_level1,5.3716,239.97
yaru,232,attic,attic:dlss_rr_level1,attic:restir_level0,RIGHT,attic:restir_level0,attic:dlss_rr_level1,1.9792,240.02
yaru,233,attic,attic:duration_flicker_level2,attic:restir_level0,RIGHT,attic:restir_level0,attic:duration_flicker_level2,1.7667,240.04
yaru,234,attic,attic:restir_level1,attic:restir_level0,RIGHT,attic:restir_level0,attic:restir_level1,2.2,240.02
