SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
rafal,192,classroom,classroom:dlss_rr_level1,classroom:judder_level0,RIGHT,classroom:judder_level0,classroom:dlss_rr_level1,2.325,240.02
rafal,193,bistro_interior,bistro_interior:stutter_level0,bistro_interior:dlss_rr_level1,LEFT,bistro_interior:stutter_level0,bistro_interior:dlss_rr_level1,2.5875,240.02
rafal,194,pink_room,pink_room:duration_flicker_level2,pink_room:duration_flicker_level0,RIGHT,pink_room:duration_flicker_level0,pink_room:duration_flicker_level2,4.2709,240.0
rafal,195,subway,subway:dlss_rr_level1,subway:motion_resolution_level1,LEFT,subway:dlss_rr_level1,subway:motion_resolution_level1,7.0542,240.01
rafal,196,classroom,classroom:judder_level0,classroom:judder_level2,RIGHT,classroom:judder_level2,classroom:judder_level0,88.5602,239.97
rafal,197,bistro_interior,bistro_interior:restir_level2,bistro_interior:motion_resolution_level1,LEFT,bistro_interior:restir_level2,bistro_interior:motion_resolution_level1,2.1667,240.03
rafal,198,attic,attic:restir_level1,attic:temporal-resolution-multiplexing_level2,LEFT,attic:restir_level1,attic:temporal-resolution-multiplexing_level2,3.3,240.02
rafal,199,landscape,landscape:motion_resolution_level0,landscape:judder_level1,RIGHT,landscape:judder_level1,landscape:motion_resolution_level0,4.0417,240.01
rafal,200,bistro_exterior,bistro_exterior:restir_level0,bistro_exterior:judder_level1,LEFT,bistro_exterior:restir_level0,bistro_exterior:judder_level1,3.3667,240.02
rafal,201,subway,subway:judder_level1,subway:noise_colors_level1,RIGHT,subway:noise_colors_level1,subway:judder_level1,7.3125,240.01
rafal,202,attic,attic:dlss_rr_level0,attic:judder_level2,RIGHT,attic:judder_level2,attic:dlss_rr_level0,3.7709,240.01
rafal,203,landscape,landscape:duration_flicker_level1,landscape:dlss_rr_level2,LEFT,landscape:duration_flicker_level1,landscape:dlss_rr_level2,9.675,240.01
rafal,204,subway,subway:dlss_rr_level1,subway:dlss_rr_level0,RIGHT,subway:dlss_rr_level0,subway:dlss_rr_level1,18.35,240.0
rafal,205,bistro_exterior,bistro_exterior:noise_colors_level2,bistro_exterior:motion_resolution_level2,LEFT,bistro_exterior:noise_colors_level2,bistro_exterior:motion_resolution_level2,3.6839,239.98
rafal,206,subway,subway:stutter_level0,subway:temporal-resolution-multiplexing_level0,RIGHT,subway:temporal-resolution-multiplexing_level0,subway:stutter_level0,10.225,240.0
rafal,207,bistro_interior,bistro_interior:duration_flicker_level0,bistro_interior:dlss_rr_level1,LEFT,bistro_interior:duration_flicker_level0,bistro_interior:dlss_rr_level1,3.4292,240.01
rafal,208,attic,attic:motion_noise_level1,attic:noise_colors_level1,RIGHT,attic:noise_colors_level1,attic:motion_noise_level1,17.9773,239.97
rafal,209,bistro_exterior,bistro_exterior:restir_level0,bistro_exterior:noise_colors_level1,LEFT,bistro_exterior:restir_level0,bistro_exterior:noise_colors_level1,8.2584,240.01
rafal,210,subway,subway:restir_level1,subway:temporal-resolution-multiplexing_level1,RIGHT,subway:temporal-resolution-multiplexing_level1,subway:restir_level1,8.0585,240.0
rafal,211,attic,attic:dlss_rr_level2,attic:motion_resolution_level1,RIGHT,attic:motion_resolution_level1,attic:dlss_rr_level2,3.3125,240.02
rafal,212,bistro_interior,bistro_interior:temporal-resolution-multiplexing_level2,bistro_interior:motion_resolution_level0,LEFT,bistro_interior:temporal-resolution-multiplexing_level2,bistro_interior:motion_resolution_level0,6.2584,240.01
rafal,213,bistro_interior,bistro_interior:motion_resolution_level1,bistro_interior:judder_level2,RIGHT,bistro_interior:judder_level2,bistro_interior:motion_resolution_level1,7.8125,240.0
