SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
aqsa,1,attic,attic:stutter_level2,attic:judder_level2,RIGHT,attic:judder_level2,attic:stutter_level2,34.9256,239.98
aqsa,2,landscape,landscape:duration_flicker_level2,landscape:motion_resolution_level1,RIGHT,landscape:motion_resolution_level1,landscape:duration_flicker_level2,2.6546,239.98
aqsa,3,attic,attic:restir_level2,attic:judder_level2,RIGHT,attic:judder_level2,attic:restir_level2,2.5959,240.02
aqsa,4,marbles,marbles:restir_level2,marbles:restir_level1,LEFT,marbles:restir_level2,marbles:restir_level1,27.0838,240.0
aqsa,5,marbles,marbles:restir_level1,marbles:temporal-resolution-multiplexing_level1,LEFT,marbles:restir_level1,marbles:temporal-resolution-multiplexing_level1,18.8776,239.97
aqsa,6,landscape,landscape:temporal-resolution-multiplexing_level0,landscape:stutter_level1,RIGHT,landscape:stutter_level1,landscape:temporal-resolution-multiplexing_level0,4.7547,239.98
aqsa,7,subway,subway:noise_colors_level2,subway:motion_noise_level2,LEFT,subway:noise_colors_level2,subway:motion_noise_level2,1.9712,239.99
aqsa,8,landscape,landscape:stutter_level1,landscape:temporal-resolution-multiplexing_level1,LEFT,landscape:stutter_level1,landscape:temporal-resolution-multiplexing_level1,8.9887,239.97
aqsa,9,subway,subway:restir_level0,subway:duration_flicker_level1,RIGHT,subway:duration_flicker_level1,subway:restir_level0,1.5834,240.03
aqsa,10,marbles,marbles:motion_resolution_level2,marbles:judder_level2,RIGHT,marbles:judder_level2,marbles:motion_resolution_level2,2.9209,240.01
aqsa,11,bistro_exterior,bistro_exterior:motion_noise_level1,bistro_exterior:motion_noise_level2,RIGHT,bistro_exterior:motion_noise_level2,bistro_exterior:motion_noise_level1,10.2974,239.97
aqsa,12,classroom,classroom:motion_noise_level0,classroom:judder_level1,RIGHT,classroom:judder_level1,classroom:motion_noise_level0,5.0834,240.01
aqsa,13,zeroday,zeroday:restir_level0,zeroday:duration_flicker_level1,RIGHT,zeroday:duration_flicker_level1,zeroday:restir_level0,10.3462,239.99
aqsa,14,landscape,landscape:stutter_level2,landscape:motion_resolution_level2,LEFT,landscape:stutter_level2,landscape:motion_resolution_level2,1.321,240.0
aqsa,15,subway,subway:temporal-resolution-multiplexing_level0,subway:judder_level1,LEFT,subway:temporal-resolution-multiplexing_level0,subway:judder_level1,14.2049,239.99
aqsa,16,zeroday,zeroday:temporal-resolution-multiplexing_level2,zeroday:stutter_level2,RIGHT,zeroday:stutter_level2,zeroday:temporal-resolution-multiplexing_level2,1.675,240.02
aqsa,17,landscape,landscape:noise_colors_level2,landscape:restir_level1,RIGHT,landscape:restir_level1,landscape:noise_colors_level2,6.475,240.01
aqsa,18,zeroday,zeroday:restir_level1,zeroday:restir_level0,RIGHT,zeroday:restir_level0,zeroday:restir_level1,6.2175,239.98
aqsa,19,bistro_exterior,bistro_exterior:motion_noise_level1,bistro_exterior:motion_resolution_level1,LEFT,bistro_exterior:motion_noise_level1,bistro_exterior:motion_resolution_level1,3.5297,239.98
aqsa,20,classroom,classroom:motion_noise_level0,classroom:temporal-resolution-multiplexing_level1,LEFT,classroom:motion_noise_level0,classroom:temporal-resolution-multiplexing_level1,14.9975,239.98
aqsa,21,subway,subway:restir_level0,subway:dlss_rr_level0,RIGHT,subway:dlss_rr_level0,subway:restir_level0,1.5043,240.0
aqsa,22,marbles,marbles:restir_level0,marbles:dlss_rr_level1,RIGHT,marbles:dlss_rr_level1,marbles:restir_level0,9.7887,239.98
