observer,scene,condition_A,condition_B,is_A_selected,metric_A,level_A,metric_B,level_B,response_time_sec
Jorge,pink_room,duration_flicker_level0,noise_colors_level0,0,duration_flicker,level0,noise_colors,level0,5.4468
Jorge,subway,restir_level0,noise_colors_level0,0,restir,level0,noise_colors,level0,5.2801
Jorge,landscape,judder_level0,restir_level2,0,judder,level0,restir,level2,7.0053
Jorge,landscape,restir_level0,motion_resolution_level2,1,restir,level0,motion_resolution,level2,5.4093
Jorge,marbles,temporal-resolution-multiplexing_level2,dlss_rr_level2,0,temporal-resolution-multiplexing,level2,dlss_rr,level2,4.9134
Jorge,subway,noise_colors_level1,dlss_rr_level2,1,noise_colors,level1,dlss_rr,level2,5.4426
Jorge,subway,motion_resolution_level0,motion_resolution_level2,1,motion_resolution,level0,motion_resolution,level2,5.4010
Jorge,zeroday,temporal-resolution-multiplexing_level2,judder_level2,0,temporal-resolution-multiplexing,level2,judder,level2,5.8135
Jorge,marbles,duration_flicker_level1,dlss_rr_level2,0,duration_flicker,level1,dlss_rr,level2,5.8886
Jorge,bistro_interior,dlss_rr_level2,dlss_rr_level0,0,dlss_rr,level2,dlss_rr,level0,5.2594
Jorge,classroom,restir_level1,motion_resolution_level2,1,restir,level1,motion_resolution,level2,4.6509
Jorge,attic,motion_noise_level0,dlss_rr_level1,1,motion_noise,level0,dlss_rr,level1,4.7801
Jorge,pink_room,restir_level0,duration_flicker_level2,1,restir,level0,duration_flicker,level2,5.3135
Jorge,subway,dlss_rr_level1,duration_flicker_level1,1,dlss_rr,level1,duration_flicker,level1,5.4510
Jorge,landscape,dlss_rr_level0,stutter_level0,0,dlss_rr,level0,stutter,level0,5.3260
Jorge,bistro_exterior,judder_level1,noise_colors_level2,1,judder,level1,noise_colors,level2,5.4343
Jorge,pink_room,temporal-resolution-multiplexing_level0,judder_level2,1,temporal-resolution-multiplexing,level0,judder,level2,5.4969
Jorge,attic,restir_level2,duration_flicker_level2,0,restir,level2,duration_flicker,level2,5.3593
Jorge,zeroday,dlss_rr_level1,temporal-resolution-multiplexing_level2,1,dlss_rr,level1,temporal-resolution-multiplexing,level2,5.4259
Jorge,bistro_exterior,temporal-resolution-multiplexing_level2,motion_noise_level0,0,temporal-resolution-multiplexing,level2,motion_noise,level0,5.4885
Jorge,subway,noise_colors_level0,judder_level0,0,noise_colors,level0,judder,level0,5.3135
Jorge,bistro_interior,duration_flicker_level1,dlss_rr_level1,1,duration_flicker,level1,dlss_rr,level1,5.4468
Jorge,bistro_exterior,temporal-resolution-multiplexing_level0,restir_level0,1,temporal-resolution-multiplexing,level0,restir,level0,7.3054
Jorge,landscape,duration_flicker_level2,motion_noise_level0,0,duration_flicker,level2,motion_noise,level0,5.3511
Jorge,bistro_exterior,motion_resolution_level2,dlss_rr_level1,0,motion_resolution,level2,dlss_rr,level1,5.4759
Jorge,bistro_exterior,judder_level0,stutter_level2,1,judder,level0,stutter,level2,5.4759
Jorge,zeroday,duration_flicker_level2,motion_noise_level1,0,duration_flicker,level2,motion_noise,level1,5.5635
Jorge,subway,noise_colors_level1,motion_resolution_level1,1,noise_colors,level1,motion_resolution,level1,9.5557
Jorge,landscape,temporal-resolution-multiplexing_level0,duration_flicker_level1,1,temporal-resolution-multiplexing,level0,duration_flicker,level1,5.3636
Jorge,pink_room,duration_flicker_level0,noise_colors_level1,0,duration_flicker,level0,noise_colors,level1,5.6050
Jorge,classroom,duration_flicker_level1,restir_level2,0,duration_flicker,level1,restir,level2,4.7426
Jorge,classroom,duration_flicker_level0,dlss_rr_level0,0,duration_flicker,level0,dlss_rr,level0,5.0676
Jorge,landscape,motion_resolution_level0,motion_resolution_level2,1,motion_resolution,level0,motion_resolution,level2,6.2385
Jorge,marbles,motion_noise_level1,noise_colors_level1,1,motion_noise,level1,noise_colors,level1,5.3717
Jorge,bistro_interior,noise_colors_level1,motion_noise_level1,0,noise_colors,level1,motion_noise,level1,8.6181
Jorge,attic,dlss_rr_level0,motion_noise_level0,0,dlss_rr,level0,motion_noise,level0,4.8259
Jorge,landscape,duration_flicker_level1,dlss_rr_level1,1,duration_flicker,level1,dlss_rr,level1,6.6387
Jorge,marbles,dlss_rr_level2,dlss_rr_level0,0,dlss_rr,level2,dlss_rr,level0,8.4638
Jorge,marbles,restir_level2,judder_level1,0,restir,level2,judder,level1,5.4260
Jorge,zeroday,duration_flicker_level1,stutter_level2,1,duration_flicker,level1,stutter,level2,9.4932
Jorge,subway,duration_flicker_level0,duration_flicker_level2,1,duration_flicker,level0,duration_flicker,level2,5.2218
Jorge,bistro_interior,motion_noise_level2,temporal-resolution-multiplexing_level0,0,motion_noise,level2,temporal-resolution-multiplexing,level0,4.8676
Jorge,marbles,judder_level2,dlss_rr_level2,0,judder,level2,dlss_rr,level2,4.3634
Jorge,landscape,restir_level0,noise_colors_level0,1,restir,level0,noise_colors,level0,5.3343
Jorge,zeroday,motion_noise_level2,dlss_rr_level0,0,motion_noise,level2,dlss_rr,level0,5.4385
Jorge,landscape,restir_level0,judder_level1,0,restir,level0,judder,level1,5.3509
Jorge,bistro_exterior,judder_level0,noise_colors_level0,0,judder,level0,noise_colors,level0,6.0052
Jorge,attic,judder_level0,judder_level2,1,judder,level0,judder,level2,5.0134
Jorge,attic,noise_colors_level1,temporal-resolution-multiplexing_level0,0,noise_colors,level1,temporal-resolution-multiplexing,level0,4.9051
Jorge,classroom,judder_level2,restir_level1,1,judder,level2,restir,level1,5.0968
Jorge,classroom,judder_level0,duration_flicker_level1,1,judder,level0,duration_flicker,level1,4.7635
Jorge,bistro_interior,duration_flicker_level2,dlss_rr_level0,1,duration_flicker,level2,dlss_rr,level0,4.8633
Jorge,zeroday,noise_colors_level2,duration_flicker_level2,1,noise_colors,level2,duration_flicker,level2,6.8177
Jorge,bistro_interior,motion_noise_level1,restir_level0,1,motion_noise,level1,restir,level0,5.1259
