SubjectID,TrialIndex,MasterTrialID,TotalTrials,ComparisonType,Scene,LeftMetric,LeftLevel,LeftVideo,RightMetric,RightLevel,RightVideo,ChosenSide,ChosenMetric,ChosenLevel,ChosenVideo,RejectedMetric,RejectedLevel,RejectedVideo,ResponseTime_sec,PresentationFPS
ASAP_z_temp,1,154,720,INTER-DISTORTION,bistro_exterior,temporal-resolution-multiplexing,level2,bistro_exterior_temporal-resolution-multiplexing_level2.mp4,noise_colors,level2,bistro_exterior_noise_colors_level2.mp4,RIGHT,noise_colors,level2,bistro_exterior_noise_colors_level2.mp4,temporal-resolution-multiplexing,level2,bistro_exterior_temporal-resolution-multiplexing_level2.mp4,3.6083,240.0
ASAP_z_temp,2,389,720,INTER-DISTORTION,landscape,restir,level1,landscape_restir_level1.mp4,noise_colors,level1,landscape_noise_colors_level1.mp4,LEFT,restir,level1,landscape_restir_level1.mp4,noise_colors,level1,landscape_noise_colors_level1.mp4,3.4752,239.94
ASAP_z_temp,3,587,720,INTER-DISTORTION,subway,motion_noise,level1,subway_motion_noise_level1.mp4,dlss_rr,level1,subway_dlss_rr_level1.mp4,RIGHT,dlss_rr,level1,subway_dlss_rr_level1.mp4,motion_noise,level1,subway_motion_noise_level1.mp4,2.9042,239.99
ASAP_z_temp,4,56,720,INTER-DISTORTION,attic,restir,level2,attic_restir_level2.mp4,motion_noise,level2,attic_motion_noise_level2.mp4,RIGHT,motion_noise,level2,attic_motion_noise_level2.mp4,restir,level2,attic_restir_level2.mp4,2.1563,239.65
ASAP_z_temp,5,527,720,INTER-DISTORTION,pink_room,stutter,level1,pink_room_stutter_level1.mp4,judder,level1,pink_room_judder_level1.mp4,LEFT,stutter,level1,pink_room_stutter_level1.mp4,judder,level1,pink_room_judder_level1.mp4,4.8875,240.0
ASAP_z_temp,6,76,720,INTER-DISTORTION,attic,restir,level2,attic_restir_level2.mp4,stutter,level2,attic_stutter_level2.mp4,LEFT,restir,level2,attic_restir_level2.mp4,stutter,level2,attic_stutter_level2.mp4,6.825,240.0
ASAP_z_temp,7,119,720,INTER-DISTORTION,bistro_exterior,judder,level1,bistro_exterior_judder_level1.mp4,motion_noise,level1,bistro_exterior_motion_noise_level1.mp4,LEFT,judder,level1,bistro_exterior_judder_level1.mp4,motion_noise,level1,bistro_exterior_motion_noise_level1.mp4,2.1917,240.0
ASAP_z_temp,8,588,720,INTER-DISTORTION,subway,dlss_rr,level2,subway_dlss_rr_level2.mp4,motion_noise,level2,subway_motion_noise_level2.mp4,LEFT,dlss_rr,level2,subway_dlss_rr_level2.mp4,motion_noise,level2,subway_motion_noise_level2.mp4,3.2667,240.01
ASAP_z_temp,9,374,720,INTER-DISTORTION,landscape,motion_noise,level2,landscape_motion_noise_level2.mp4,noise_colors,level2,landscape_noise_colors_level2.mp4,LEFT,motion_noise,level2,landscape_motion_noise_level2.mp4,noise_colors,level2,landscape_noise_colors_level2.mp4,3.3417,240.01
ASAP_z_temp,10,190,720,INTER-DISTORTION,bistro_interior,dlss_rr,level2,bistro_interior_dlss_rr_level2.mp4,motion_resolution,level2,bistro_interior_motion_resolution_level2.mp4,LEFT,dlss_rr,level2,bistro_interior_dlss_rr_level2.mp4,motion_resolution,level2,bistro_interior_motion_resolution_level2.mp4,1.3,239.99
ASAP_z_temp,11,497,720,INTRA-DISTORTION,pink_room,restir,level1,pink_room_restir_level1.mp4,restir,level2,pink_room_restir_level2.mp4,LEFT,restir,level1,pink_room_restir_level1.mp4,restir,level2,pink_room_restir_level2.mp4,4.1708,240.0
ASAP_z_temp,12,477,720,INTER-DISTORTION,marbles,restir,level1,marbles_restir_level1.mp4,temporal-resolution-multiplexing,level1,marbles_temporal-resolution-multiplexing_level1.mp4,RIGHT,temporal-resolution-multiplexing,level1,marbles_temporal-resolution-multiplexing_level1.mp4,restir,level1,marbles_restir_level1.mp4,4.3375,240.0
ASAP_z_temp,13,207,720,INTER-DISTORTION,bistro_interior,stutter,level1,bistro_interior_stutter_level1.mp4,judder,level1,bistro_interior_judder_level1.mp4,RIGHT,judder,level1,bistro_interior_judder_level1.mp4,stutter,level1,bistro_interior_stutter_level1.mp4,3.6417,240.0
ASAP_z_temp,14,333,720,INTRA-DISTORTION,landscape,noise_colors,level0,landscape_noise_colors_level0.mp4,noise_colors,level1,landscape_noise_colors_level1.mp4,LEFT,noise_colors,level0,landscape_noise_colors_level0.mp4,noise_colors,level1,landscape_noise_colors_level1.mp4,2.5292,240.02
ASAP_z_temp,15,251,720,INTRA-DISTORTION,classroom,motion_resolution,level1,classroom_motion_resolution_level1.mp4,motion_resolution,level2,classroom_motion_resolution_level2.mp4,LEFT,motion_resolution,level1,classroom_motion_resolution_level1.mp4,motion_resolution,level2,classroom_motion_resolution_level2.mp4,4.3792,240.0
ASAP_z_temp,16,315,720,INTER-DISTORTION,classroom,restir,level1,classroom_restir_level1.mp4,stutter,level1,classroom_stutter_level1.mp4,RIGHT,stutter,level1,classroom_stutter_level1.mp4,restir,level1,classroom_restir_level1.mp4,1.219,239.41
ASAP_z_temp,17,33,720,INTER-DISTORTION,attic,restir,level1,attic_restir_level1.mp4,dlss_rr,level1,attic_dlss_rr_level1.mp4,RIGHT,dlss_rr,level1,attic_dlss_rr_level1.mp4,restir,level1,attic_restir_level1.mp4,2.8125,239.99
ASAP_z_temp,18,567,720,INTRA-DISTORTION,subway,motion_noise,level1,subway_motion_noise_level1.mp4,motion_noise,level0,subway_motion_noise_level0.mp4,RIGHT,motion_noise,level0,subway_motion_noise_level0.mp4,motion_noise,level1,subway_motion_noise_level1.mp4,4.05,240.02
ASAP_z_temp,19,179,720,INTRA-DISTORTION,bistro_interior,stutter,level1,bistro_interior_stutter_level1.mp4,stutter,level0,bistro_interior_stutter_level0.mp4,RIGHT,stutter,level0,bistro_interior_stutter_level0.mp4,stutter,level1,bistro_interior_stutter_level1.mp4,1.175,239.95
ASAP_z_temp,20,325,720,INTRA-DISTORTION,landscape,judder,level1,landscape_judder_level1.mp4,judder,level2,landscape_judder_level2.mp4,LEFT,judder,level1,landscape_judder_level1.mp4,judder,level2,landscape_judder_level2.mp4,3.875,240.03
ASAP_z_temp,21,482,720,INTRA-DISTORTION,pink_room,dlss_rr,level1,pink_room_dlss_rr_level1.mp4,dlss_rr,level2,pink_room_dlss_rr_level2.mp4,LEFT,dlss_rr,level1,pink_room_dlss_rr_level1.mp4,dlss_rr,level2,pink_room_dlss_rr_level2.mp4,4.95,239.99
ASAP_z_temp,22,590,720,INTER-DISTORTION,subway,dlss_rr,level2,subway_dlss_rr_level2.mp4,motion_resolution,level2,subway_motion_resolution_level2.mp4,RIGHT,motion_resolution,level2,subway_motion_resolution_level2.mp4,dlss_rr,level2,subway_dlss_rr_level2.mp4,2.725,240.14
ASAP_z_temp,23,332,720,INTRA-DISTORTION,landscape,motion_resolution,level2,landscape_motion_resolution_level2.mp4,motion_resolution,level0,landscape_motion_resolution_level0.mp4,RIGHT,motion_resolution,level0,landscape_motion_resolution_level0.mp4,motion_resolution,level2,landscape_motion_resolution_level2.mp4,1.425,240.01
ASAP_z_temp,24,464,720,INTER-DISTORTION,marbles,motion_resolution,level2,marbles_motion_resolution_level2.mp4,restir,level2,marbles_restir_level2.mp4,RIGHT,restir,level2,marbles_restir_level2.mp4,motion_resolution,level2,marbles_motion_resolution_level2.mp4,4.4708,240.01
ASAP_z_temp,25,85,720,INTRA-DISTORTION,bistro_exterior,judder,level2,bistro_exterior_judder_level2.mp4,judder,level1,bistro_exterior_judder_level1.mp4,LEFT,judder,level2,bistro_exterior_judder_level2.mp4,judder,level1,bistro_exterior_judder_level1.mp4,5.9542,240.0
ASAP_z_temp,26,634,720,INTER-DISTORTION,subway,temporal-resolution-multiplexing,level2,subway_temporal-resolution-multiplexing_level2.mp4,noise_colors,level2,subway_noise_colors_level2.mp4,LEFT,temporal-resolution-multiplexing,level2,subway_temporal-resolution-multiplexing_level2.mp4,noise_colors,level2,subway_noise_colors_level2.mp4,1.7792,239.96
ASAP_z_temp,27,58,720,INTER-DISTORTION,attic,motion_noise,level2,attic_motion_noise_level2.mp4,stutter,level2,attic_stutter_level2.mp4,LEFT,motion_noise,level2,attic_motion_noise_level2.mp4,stutter,level2,attic_stutter_level2.mp4,1.4917,239.97
